Column1.1,Column1,Column1.3,Column1.4,Column1.5
TIME:3:43:17,,IR1:105,IR2:75,US:74
TIME:3:43:18,,IR1:75,IR2:90,US:60
TIME:3:43:18,,IR1:75,IR2:75,US:23
TIME:3:43:19,,IR1:90,IR2:75,US:33
TIME:3:43:20,,IR1:15,IR2:60,US:22
TIME:3:43:20,,IR1:0,IR2:75,US:75
TIME:3:43:21,,IR1:30,IR2:60,US:65
TIME:3:43:21,,IR1:60,IR2:90,US:61
TIME:3:43:22,,IR1:75,IR2:60,US:51
TIME:3:43:22,,IR1:75,IR2:75,US:38
TIME:3:43:23,,IR1:45,IR2:75,US:27
TIME:3:43:23,,IR1:15,IR2:75,US:23
TIME:3:43:24,,IR1:75,IR2:75,US:102
TIME:3:43:24,,IR1:105,IR2:75,US:92
TIME:3:43:25,,IR1:105,IR2:75,US:80
TIME:3:43:25,,IR1:60,IR2:60,US:66
TIME:3:43:26,,IR1:60,IR2:75,US:53
TIME:3:43:27,,IR1:60,IR2:60,US:42
TIME:3:43:27,,IR1:75,IR2:105,US:29
TIME:3:43:27,,IR1:15,IR2:60,US:22
TIME:3:43:28,,IR1:45,IR2:60,US:82
TIME:3:43:29,,IR1:90,IR2:60,US:81
TIME:3:43:29,,IR1:90,IR2:90,US:70
TIME:3:43:30,,IR1:60,IR2:90,US:59
TIME:3:43:30,,IR1:75,IR2:60,US:53
TIME:3:43:31,,IR1:60,IR2:60,US:57
TIME:3:43:31,,IR1:45,IR2:75,US:45
TIME:3:43:32,,IR1:75,IR2:60,US:34
TIME:3:43:32,,IR1:60,IR2:90,US:24
TIME:3:43:33,,IR1:30,IR2:75,US:14
TIME:3:43:34,,IR1:30,IR2:75,US:72
TIME:3:43:34,,IR1:60,IR2:75,US:91
TIME:3:43:35,,IR1:75,IR2:75,US:75
TIME:3:43:35,,IR1:75,IR2:60,US:66
TIME:3:43:36,,IR1:90,IR2:75,US:55
TIME:3:43:36,,IR1:30,IR2:75,US:23
TIME:3:43:37,,IR1:15,IR2:75,US:35
TIME:3:43:37,,IR1:30,IR2:75,US:29
TIME:3:43:38,,IR1:90,IR2:75,US:35
TIME:3:43:38,,IR1:60,IR2:75,US:76
TIME:3:43:39,,IR1:105,IR2:75,US:65
TIME:3:43:39,,IR1:90,IR2:60,US:53
TIME:3:43:40,,IR1:90,IR2:75,US:40
TIME:3:43:40,,IR1:90,IR2:75,US:29
TIME:3:43:41,,IR1:15,IR2:60,US:19
TIME:3:43:41,,IR1:15,IR2:75,US:60
TIME:3:43:42,,IR1:60,IR2:60,US:112
TIME:3:43:42,,IR1:45,IR2:90,US:99
TIME:3:43:43,,IR1:30,IR2:75,US:62
TIME:3:43:44,,IR1:75,IR2:60,US:51
TIME:3:43:44,,IR1:45,IR2:75,US:38
TIME:3:43:45,,IR1:15,IR2:75,US:86
TIME:3:43:45,,IR1:90,IR2:60,US:54
